linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,pct
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,6,7305,0.08
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,14,7305,0.19
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,20,7305,0.27
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,27,7305,0.37
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,8,7305,0.11
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,6,7305,0.08
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,8,7305,0.11
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,22,7305,0.3
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,19,7305,0.26
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,22,7305,0.3
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,32,7305,0.44
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,19,7305,0.26
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,19,7305,0.26
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,5,7305,0.07
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,11,7305,0.15
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,13,7305,0.18
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,14,7305,0.19
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,12,7305,0.16
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,15,7305,0.21
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,5,7305,0.07
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,11,7305,0.15
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,13,7305,0.18
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,14,7305,0.19
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,12,7305,0.16
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,15,7305,0.21
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,4,7305,0.05
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,3,7305,0.04
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,5,7305,0.07
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,6,7305,0.08
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,5,7305,0.07
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,8,7305,0.11
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,4,7305,0.05
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,4,7305,0.05
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,4,7305,0.05
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,4,7305,0.05
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,13,7305,0.18
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,3,7305,0.04
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,2,7305,0.03
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,1,7305,0.01
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,4,7305,0.05
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,13,7305,0.18
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,3,7305,0.04
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,2,7305,0.03
LT 88 kV OURINHOS / CHAVANTES C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,5,7305,0.07
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,11,7305,0.15
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,13,7305,0.18
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,14,7305,0.19
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,12,7305,0.16
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,15,7305,0.21
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,22,7305,0.3
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,24,7305,0.33
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,35,7305,0.48
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,45,7305,0.62
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,48,7305,0.66
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,46,7305,0.63
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,47,7305,0.64
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,21,7305,0.29
